section_id,doc_id,api_id,api_name,api_type,namespace
TargetCriteria1132778::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/TargetCriteria1132778,DevExpress.Persistent.Validation.IRuleBaseProperties.TargetCriteria,TargetCriteria,property,DevExpress.Persistent.Validation.IRuleBaseProperties
TargetCriteria1132778::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/TargetCriteria1132778,DevExpress.Persistent.Validation.RuleBaseAttribute.TargetCriteria,TargetCriteria,class,DevExpress.Persistent.Validation.RuleBaseAttribute
TargetType1132779::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/TargetType1132779,DevExpress.Persistent.Validation.IRuleBaseProperties.TargetType,TargetType,property,DevExpress.Persistent.Validation.IRuleBaseProperties
IRuleCollectionPropertyProperties::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/IRuleCollectionPropertyProperties,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties
IRuleCollectionPropertyProperties::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/IRuleCollectionPropertyProperties,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,IRuleCollectionPropertyProperties,interface,DevExpress.Persistent.Validation
MessageTemplateCollectionValidationMessageSuffix1133867::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/MessageTemplateCollectionValidationMessageSuffix1133867,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.MessageTemplateCollectionValidationMessageSuffix,MessageTemplateCollectionValidationMessageSuffix,property,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties
MessageTemplateTargetDoesNotSatisfyCollectionCriteria1133868::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/MessageTemplateTargetDoesNotSatisfyCollectionCriteria1133868,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.MessageTemplateTargetDoesNotSatisfyCollectionCriteria,MessageTemplateTargetDoesNotSatisfyCollectionCriteria,property,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties
TargetCollectionOwnerType1133869::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/TargetCollectionOwnerType1133869,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.TargetCollectionOwnerType,TargetCollectionOwnerType,property,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties
TargetCollectionPropertyName1133870::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleCollectionPropertyProperties/TargetCollectionPropertyName1133870,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties.TargetCollectionPropertyName,TargetCollectionPropertyName,property,DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties
DropCachedRules::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/DropCachedRules,DevExpress.Persistent.Validation.IRuleSet.DropCachedRules,DropCachedRules,property,DevExpress.Persistent.Validation.IRuleSet
FindRule::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/FindRule,DevExpress.Persistent.Validation.IRuleSet.FindRule,FindRule,method,DevExpress.Persistent.Validation.IRuleSet
FindRule::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/FindRule,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
GetRules::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules,DevExpress.Persistent.Validation.ContextIdentifiers,ContextIdentifiers,class,DevExpress.Persistent.Validation
GetRules::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules,DevExpress.Persistent.Validation.ContextIdentifiers,ContextIdentifiers,property,DevExpress.Persistent.Validation
GetRules::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
GetRules::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules,DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,method,DevExpress.Persistent.Validation.IRuleSet
GetRules_2::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_2,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
GetRules_2::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_2,DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,method,DevExpress.Persistent.Validation.IRuleSet
GetRules_3::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_3,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
GetRules_3::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_3,DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,method,DevExpress.Persistent.Validation.IRuleSet
GetRules_4::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_4,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
GetRules_4::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_4,DevExpress.Persistent.Validation.IRuleSet.GetRules,GetRules,method,DevExpress.Persistent.Validation.IRuleSet
GetRules_5::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_5,DevExpress.Persistent.Validation.ContextIdentifiers,ContextIdentifiers,class,DevExpress.Persistent.Validation
GetRules_5::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleSet/GetRules_5,DevExpress.Persistent.Validation.ContextIdentifiers,ContextIdentifiers,property,DevExpress.Persistent.Validation
